,Wake Forest University ACHA D2,3,3,0,0,0,6,18,8,10,0,0,0,0
,Columbia University - MCHC,3,2,1,0,0,4,25,21,4,3,1,7,71
,Rowan University,2,1,0,1,0,3,7,6,1,3,0,0,30
,Elon University ACHA D2,3,1,1,1,0,3,8,7,1,0,0,2,14
,Georgetown University ACHA D2,1,1,0,0,0,2,6,0,6,0,0,0,0
,University at Delaware - D2,1,1,0,0,0,2,5,0,5,1,0,0,4
,University of Maine,1,1,0,0,0,2,4,1,3,1,0,1,13
,Virginia Tech University,1,1,0,0,0,2,6,3,3,2,0,1,11
,SUNY Maritime - MCHC,1,1,0,0,0,2,5,3,2,2,0,0,27
,Sacred Heart University - MCHC,1,1,0,0,0,2,4,3,1,2,0,0,8
,George Washington University,1,1,0,0,0,2,4,3,1,0,0,0,0
,Southern New Hampshire University,1,1,0,0,0,2,5,4,1,0,0,1,8
,Bentley University,3,1,2,0,0,2,9,9,0,0,1,1,50
,St. Thomas Aquinas College,2,1,1,0,0,2,9,9,0,2,0,2,22
,Suffolk Community College - MCHC,2,1,1,0,0,2,11,12,-1,2,1,2,18
,Western Connecticut State University - MCHC,2,1,1,0,0,2,5,6,-1,0,1,3,29
,University of Maryland (D3),4,1,3,0,0,2,15,31,-16,1,1,3,33
,Stevens Institute of Technology - MCHC,2,0,1,0,1,1,6,8,-2,1,2,1,26
,Duke University ACHA D2,2,0,1,0,1,1,6,9,-3,0,0,0,0
,Brown University,3,0,2,0,1,1,5,24,-19,2,0,2,24
,Dennison University,0,0,0,0,0,0,0,0,0,0,0,0,0
,East Texas Baptist University ACHA D2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lewis University ACHA D2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stevenson University,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stevenson University,0,0,0,0,0,0,0,0,0,0,0,0,0
,St. Joseph's University,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of Alabama - ACHA D1,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of Alabama - D1,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of Kentucky ACHA D2,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of Kentucky - D2,0,0,0,0,0,0,0,0,0,0,0,0,0
,University of North Carolina - Chapel Hill,0,0,0,0,0,0,0,0,0,0,0,0,0
,Virginia Tech,0,0,0,0,0,0,0,0,0,0,0,0,0
,West Chester University ACHA D2,1,0,1,0,0,0,6,7,-1,2,0,0,12
,Millersville ACHA D2,1,0,1,0,0,0,3,4,-1,1,0,2,14
,Kings Point Merchant Marine Academy - MCHC,1,0,1,0,0,0,3,4,-1,0,0,2,6
,Canisius College (ACHA D1),1,0,1,0,0,0,5,7,-2,1,1,4,16
,Seton Hall University,1,0,1,0,0,0,5,8,-3,1,0,1,6
,West Virginia MD3,1,0,1,0,0,0,0,4,-4,0,0,1,6
,California University of Pennsylvania,2,0,2,0,0,0,7,12,-5,1,0,6,50
,St. Joseph's of Maine,3,0,3,0,0,0,6,15,-9,1,0,3,59
,University of Mary Washington,2,0,2,0,0,0,1,39,-38,0,0,0,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,University of Tampa,27,25,1,1,0,51,182,60,122,26,10,12,337
,University of Tampa - FCHC,23,22,0,0,1,45,213,39,174,39,10,11,344
,Embry-Riddle University,28,16,10,1,1,34,132,92,40,38,5,23,461
,University of South Florida,27,14,11,1,1,30,109,108,1,38,3,24,348
,Florida Southern College - FCHC,19,11,7,0,1,23,113,94,19,15,11,15,282
,University of Central Florida,29,9,16,1,3,22,105,116,-11,31,7,28,353
,Embry-Riddle University - FCHC,19,8,10,0,1,17,81,115,-34,23,5,41,402
,University of Miami,21,5,15,1,0,11,94,129,-35,17,9,30,274
,Florida Institute of Technology - FCHC,20,4,15,0,1,9,82,151,-69,23,5,25,274
,University of South Florida - FCHC,9,0,9,0,0,0,12,97,-85,4,0,20,108
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Niagara University,22,16,5,0,1,33,117,71,46,37,2,26,321
,University of Binghamton,16,14,1,0,1,29,135,47,88,21,13,11,171
,Buffalo State College,17,14,2,0,1,29,99,62,37,25,7,18,280
,St Bonaventure University,16,14,2,0,0,28,104,41,63,25,3,8,194
,St John Fisher College,19,13,5,1,0,27,142,71,71,21,10,8,225
,Erie Community College,20,11,8,0,1,23,101,97,4,18,11,24,299
,Niagara County Community College,12,10,1,0,1,21,86,41,45,13,7,9,170
,University at Buffalo,23,9,12,0,2,20,82,117,-35,20,4,25,248
,LeMoyne College,16,8,7,0,1,17,81,97,-16,17,2,19,171
,SUNY Cortland,14,7,5,0,2,16,66,66,0,16,8,13,190
,SUNY Brockport,13,6,6,0,1,13,55,63,-8,9,4,17,152
,Gannon University,12,6,6,0,0,12,68,77,-9,21,4,14,228
,SUNY Geneseo,8,5,2,1,0,11,53,35,18,5,2,9,123
,University At Albany,14,4,8,1,1,10,42,73,-31,9,0,16,145
,Alfred State College,12,4,7,0,1,9,57,55,2,12,6,14,187
,Cornell University,11,4,7,0,0,8,37,61,-24,10,2,8,130
,Canisius College,13,3,8,0,2,8,42,88,-46,8,2,15,116
,Mercyhurst University,12,3,8,0,1,7,34,71,-37,9,2,19,223
,Colgate University,4,2,1,0,1,5,27,24,3,4,0,1,40
,Hamilton College,5,2,2,1,0,5,24,27,-3,3,1,3,25
,SUNY Fredonia,11,2,8,0,1,5,46,50,-4,11,2,9,146
,Union College,11,2,8,1,0,5,38,55,-17,1,1,8,70
,Medaille College,9,2,7,0,0,4,27,78,-51,5,1,14,116
,Penn St. Behrend,15,2,13,0,0,4,51,131,-80,14,8,28,244
,University of Pittsburgh at Bradford,3,1,2,0,0,2,16,16,0,4,0,2,18
,Paul Smiths College,4,0,3,0,1,1,10,27,-17,2,0,9,86
,Hobart College,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ithaca College,3,0,3,0,0,0,13,36,-23,2,0,1,12
,University of Rochester,5,0,5,0,0,0,15,45,-30,8,2,6,48
