Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
FRAZER DODD,Alvernia University,53,C,18,38,32,70,9,14,4,1,26,9
MATIAS WEIR,Florida Atlantic University,28,RW,26,29,39,68,5,13,2,1,14,4
CAM MOORE,Penn State University - Harrisburg,28,F,27,33,32,65,3,5,3,0,32,3
MATTHEW CONNELLY,Georgia Tech,17,F,24,33,26,59,2,9,4,0,8,4
JACOB FRIEDMAN,Florida Atlantic University,14,F,26,26,30,56,8,11,4,2,43,3
JACKSON KATZ,University of Georgia,23,C,29,24,32,56,9,12,1,2,16,2
MATTHEW FROMER,Florida Southern College - FCHC,"10, 15",F,19,20,34,54,5,5,3,1,99,2
RILEY EGAN,Alvernia University,28,F,19,21,32,53,3,11,1,1,14,1
DEREK MORGIA,Florida Institute of Technology - FCHC,72,F,20,34,17,51,8,8,4,0,4,5
CHRISTOPHER DRESSLER,Ramapo College,15,RW,18,29,21,50,8,2,0,2,59,5
ANTONIO FEMIA,St John Fisher College,21,RW,20,27,23,50,5,2,3,2,12,4
RYAN LICURSI,St John Fisher College,4,F,21,21,29,50,2,6,1,1,4,2
DAVID ISRAEL,Florida Atlantic University,18,D,22,16,32,48,5,12,0,4,22,0
CONNOR BOLAND,LeMoyne College,22,F,15,31,16,47,5,6,0,2,4,4
MYLES DAVIDSON,Florida Atlantic University,20,LW,26,23,22,45,8,4,1,2,18,3
GEORGE MESAROS,University of Georgia,26,"F, RW",27,20,25,45,6,6,1,0,51,1
ETHAN KNAUF,Niagara University,15,RW,20,18,27,45,4,13,1,0,4,3
JACK KINSMAN,Erie Community College,11,F,15,25,19,44,2,6,2,2,6,3
JOSEPH DAVIS,University of Tampa,28,D,29,17,27,44,3,9,4,0,40,0
RYYAN REULE,Georgia Tech,14,F,26,21,22,43,5,4,0,1,14,0
DREW ALLAIRE,St John Fisher College,5,C,20,17,26,43,4,2,0,3,28,2
MIKE BOLGER,University of South Carolina,6,F,26,15,27,42,5,5,2,3,10,0
MATT TULLO,University at Buffalo,20,C,22,26,15,41,4,6,2,1,22,2
WILLIAM CODY,University of Tampa,9,RW,28,15,26,41,0,0,0,2,8,0
EDDIE DAHDAH,Ramapo College,7,F,18,24,16,40,1,5,6,2,11,2
MICHAEL PITOCCHELLI,Fairfield University,97,F,22,24,16,40,6,0,1,1,10,3
JOSEPH PIZZO,University of Tampa - FCHC,4,C,23,22,18,40,5,6,0,0,4,1
THOMAS MOSKAL,Ramapo College,16,C,18,17,23,40,2,4,1,2,8,1
ROBERT WELCH,LeMoyne College,37,–,15,16,24,40,5,4,0,1,6,2
STEPHEN BUCK,University of Tampa,12,LW,28,15,25,40,2,8,0,2,29,0
LINDEN PALMER,Middle Tennessee State University,9,F,20,20,19,39,3,3,1,0,28,2
MATTHEW BIGDA,University of Georgia,"17, 48, 8",F,26,16,23,39,2,10,1,0,47,0
ZACHARY BRIGGS,Niagara University,12,C,22,14,25,39,6,12,0,1,14,0
GREG HENDRICKSON,Farmingdale State College - D2,17,F,25,14,25,39,3,7,0,1,26,0
PETER FALIVENA,Alvernia University,"20, 55",LW,15,17,21,38,4,4,4,1,8,1
ANDREW SZEBALSKIE,Penn State University - Harrisburg,43,F,23,17,21,38,5,3,0,0,2,2
DANILA MIKHEEV,University of South Florida,25,F,28,11,27,38,6,9,0,1,12,0
KEATON CLAY,Florida Southern College - FCHC,7,LW,18,23,14,37,1,1,3,1,37,3
MATTHEW BUDINGTON,Farmingdale State College - D2,86,LW,25,22,15,37,3,3,1,0,14,0
RYAN D'EMILIA,University of Delaware,9,F,21,17,20,37,6,6,1,1,24,1
ELI RIVERS,Alvernia University,"0, 26",F,14,16,21,37,6,5,1,1,28,1
KENNETH FOGARTY,Liberty University,25,RW,23,15,22,37,1,7,1,0,4,2
JAIME ROSS,Liberty University,23,C,22,12,25,37,4,9,0,2,20,0
MATT FERRARI,Farmingdale State College - D2,13,C,25,11,26,37,2,7,2,2,14,0
ALEXANDER RHOADS,University of South Florida,"13, 28",C,27,26,10,36,9,5,1,0,21,1
NICK SEAPKER,Gannon University,"8, 93",RW,12,23,13,36,6,7,1,1,32,4
MATTHEW NEEDLEMAN,University of Tampa,5,C,23,18,18,36,1,4,1,1,8,0
CHRIS CLAYCOMB,Alvernia University,13,F,20,17,19,36,7,2,0,0,31,2
JACKSON NOVAK,Kutztown University D2,28,F,17,16,19,35,1,5,2,0,4,1
JACKSON NOVAK,Kutztown University D3,28,F,1,0,1,1,0,0,0,0,0,0
ANTHONY DEMARIO,Fordham University,22,C,20,16,20,36,5,6,1,0,18,3
MATTHEW RIDDLE,Niagara University,6,F,21,16,19,35,9,7,0,0,2,2
EVAN HOFFBERG,University of Tampa,89,C,29,11,24,35,2,8,0,2,2,0
VINCENT SPAZIANTE,Fairfield University,21,C,22,17,17,34,2,3,1,0,24,1
JACK BOKUN,Embry-Riddle University,9,D,26,16,18,34,7,5,0,2,49,0
GRANT PARRISH,University of Tampa,11,C,28,12,22,34,5,5,0,2,14,0
RYAN ANDREWS,University of Tampa,2,LW,28,10,24,34,2,3,1,3,12,0
FRANK CATALINA,University of Tampa,10,F,27,20,13,33,3,1,3,0,6,1
JERRELL CAMPBELL,Liberty University,14,LW,22,15,18,33,3,4,1,1,4,0
VINCENT CENNAMO,Farmingdale State College - D2,5,"C, F",25,10,23,33,2,8,0,1,20,1
JACK HEALY,University of Tampa - FCHC,77,C,18,17,15,32,5,6,0,1,22,2
THOMAS OLSON,Penn State University - Harrisburg,25,F,18,13,19,32,5,7,1,0,8,1
MATTHEW KALAMAR,Gettysburg College,11,F,5,21,10,31,6,2,1,0,8,5
ETHAN FREESE,University of Maryland Baltimore County,9,"C, D",13,21,10,31,3,3,0,1,0,3
RYAN BRYSON,University of Delaware,18,F,21,21,10,31,6,1,1,0,12,1
BEN GALLIVAN,Buffalo State College,8,F,17,20,11,31,3,5,1,0,10,0
DREW KING,University of Tennessee,17,F,20,18,13,31,7,4,0,0,32,1
RYAN MARKS,Embry-Riddle University,42,C,27,18,13,31,6,2,1,0,8,0
DONOVAN MCCLELLAN,University of Central Florida,4,D,27,16,15,31,7,5,0,0,34,1
KEVIN HOLMAN,University of South Florida,11,F,29,13,18,31,2,8,0,1,6,0
RONALD RENTNER,University of Tampa - FCHC,44,D,20,12,19,31,4,3,1,2,18,1
CAMERON MECCA,University of South Carolina,13,F,26,11,20,31,3,5,0,1,42,0
MATTHEW SHEAFFER,Kutztown University D2,98,F,17,21,9,30,5,1,2,1,10,3
OWEN THOMAS,University of South Carolina,27,F,25,18,12,30,1,3,1,0,2,2
JACOB VANDERLEEST,Clemson University,"26, 27",F,19,15,15,30,4,3,3,0,0,1
MAX WEINSTOCK,University of Central Florida,17,C,29,14,16,30,6,5,0,1,8,0
BILLY CALLAHAN,Embry-Riddle University,14,C,1,1,1,2,0,0,0,0,0,0
BILLY CALLAHAN,Embry-Riddle University - FCHC,14,C,19,12,16,28,3,5,0,2,21,0
MAX SAVALOJA,University of Alabama,10,C,21,11,19,30,2,4,0,1,34,0
CHRISTIAN KUKAS,University of Tampa,8,D,27,7,23,30,3,6,0,0,12,0
CLAY STALZER,Middle Tennessee State University,"39, 99",F,19,17,12,29,3,1,1,1,24,2
KYLE USIAK,Embry-Riddle University,43,F,29,16,11,27,7,6,1,0,9,2
KYLE USIAK,Embry-Riddle University - FCHC,43,F,1,1,1,2,1,0,0,0,7,0
CHRISTOPHER SIMAK,University of Binghamton,17,C,17,15,14,29,1,3,2,1,14,1
LUKE MACMILLAN,Quinnipiac University,88,F,21,15,14,29,4,5,0,1,36,2
NOAH GABRYLUK,Florida Southern College - FCHC,3,D,19,14,15,29,2,3,1,1,4,1
JOHN DIFILIPPO,University of Tampa - FCHC,"15, 92",F,17,13,16,29,2,5,3,0,24,0
JUSTIN EVANS,"University of Tampa , University of Tampa - FCHC","13, 27, 6, 77",F,16,12,17,29,3,2,2,0,14,2
University of Tampa,"13, 27, 6, 77",F,8,1,6,7,0,0,1,0,2,0,
University of Tampa - FCHC,13,F,8,11,11,22,3,2,1,0,12,2,
MATTHEW USINSKI,University of Binghamton,18,LW,14,11,18,29,1,5,2,1,0,1
MICHAEL KEELER,St John Fisher College,8,C,21,19,9,28,5,0,2,0,18,1
JEREMY IENCO,Erie Community College,27,F,13,14,14,28,1,1,0,0,31,2
THOMAS MCKIERNAN,University of Tampa - FCHC,11,F,20,14,14,28,2,0,1,0,43,2
SEBASTIEN HENAULT,University of Alabama,"26, 27","C, F",20,13,15,28,2,1,0,0,24,1
NICHOLAS PICA,Florida Atlantic University,9,F,25,13,15,28,3,5,0,0,31,0
EARL GRETZINGER,Georgia Tech,"24, 28",D,28,13,15,28,6,4,0,1,40,0
JOHN HUNT,University of Florida,"24, 3",C,16,11,17,28,4,4,1,0,22,0
MICHAEL ANTHONY GUERRERA,Buffalo State College,3,F,18,10,18,28,3,4,3,1,22,1
LUKE GASSETT,University of Mississippi,"22, 8",F,19,8,20,28,0,4,1,1,4,0
BRETT SARDINA,Buffalo State College,53,F,17,19,8,27,6,4,1,1,16,1
CHRISTOPHER YONKERS,Hofstra University,91,F,21,14,13,27,1,2,2,3,8,0
JARET FENSTERSTOCK,University of Miami,13,F,18,13,14,27,0,1,1,1,8,0
THOMAS ALLEN,University of Delaware,22,F,20,12,15,27,2,6,1,2,34,2
MASON MEGGO,St Bonaventure University,26,F,17,10,17,27,1,9,0,0,28,0
SCOT NELSON,University of South Florida,5,D,29,10,17,27,6,10,0,0,10,0
AIDAN STEWART,Florida Institute of Technology - FCHC,91,F,19,9,18,27,2,10,1,0,29,0
JACK GANNON,University of Georgia,4,D,24,7,20,27,0,11,0,0,2,0
BRENER GRANSTON,University of Maryland Baltimore County,11,"D, F",13,16,10,26,5,1,1,0,13,2
VINCENT CACCIATORE,Hofstra University,"4, 8",C,20,16,10,26,2,3,2,1,39,1
CHRISTOPHER SCOTT,Kennesaw State University,13,F,20,15,11,26,2,4,1,0,12,2
LUCCA VICINO,Lynn University,8,F,14,13,13,26,1,6,0,1,14,1
ZACHARY MICHOLAS,SUNY Cortland,4,"F, LW",15,13,13,26,3,5,3,2,6,1
OWEN GOULETTE,Fordham University,10,F,20,13,13,26,2,3,1,0,8,1
DYLAN GREELEY,University of South Carolina,22,F,24,13,13,26,2,4,1,1,2,0
ETHAN SZYMANSKI,Penn St. Behrend,5,F,14,11,15,26,4,4,2,2,19,1
GAVIN PATERSON,Alvernia University,36,F,20,10,16,26,1,2,1,0,22,1
NOAH AUSTIN,Embry-Riddle University,11,C,29,9,17,26,6,7,0,0,12,0
JOHN MCCANN,Farmingdale State College - D2,90,C,25,8,18,26,3,3,0,2,6,0
SAFWAAN KHAN,University of Delaware,12,C,21,7,19,26,1,5,0,1,6,0
NOAH HENRY,Auburn University,"15, 28, 3, 34",F,16,13,12,25,0,5,1,1,4,0
BRANDON MAKOWSKI,St John Fisher College,13,C,21,13,12,25,2,1,3,2,20,1
ETHAN GORELKIN,University of Miami,4,F,15,12,13,25,3,0,1,1,12,0
JACK KERNITZ,St Bonaventure University,15,F,16,12,13,25,6,3,0,0,0,0
SHAWN MACTAVISH,Quinnipiac University,16,F,23,12,13,25,1,4,3,1,2,1
JAX TODOROVIC,University of Binghamton,5,F,15,9,16,25,2,0,0,2,4,0
RORY MAURER,Ramapo College,"24, 43",LW,15,7,18,25,0,4,1,1,18,1
JULIAN REISS,University of South Carolina,23,C,18,16,8,24,1,2,2,1,4,1
CHRIS SMITH,University At Albany,32,F,14,15,9,24,4,3,0,0,10,2
ISAAC MURRAY,Erie Community College,18,F,15,14,10,24,6,3,1,3,34,2
JAMES CALHOUN,Florida Southern College - FCHC,"13, 15",C,10,13,11,24,2,0,1,1,10,1
SHANE TYRIE,University at Buffalo,"11, 13",LW,20,12,12,24,2,3,1,1,10,0
MICHAEL SWEENEY,Hofstra University,77,"F, LW, RW",20,12,12,24,2,5,1,1,4,0
OWEN ROWELL,University of Binghamton,44,LW,17,11,13,24,0,3,2,0,8,0
JAMES JOHNSON,St Bonaventure University,5,F,18,11,13,24,2,7,2,0,2,0
ANDREW BOHNER,Georgia Tech,13,F,23,10,14,24,5,3,0,0,19,0
THOMAS GRAMANDO,Lynn University,91,C,14,9,15,24,2,3,1,1,4,0
ZACHARY OLSEN,SUNY Brockport,26,"F, LW",13,13,10,23,3,3,1,1,6,1
CHARLES LECAIN,Widener University,71,C,15,13,10,23,5,3,1,1,2,1
TRAVIS DUCHENE,Catholic University,24,RW,11,12,11,23,0,4,2,0,0,2
JUSTIN FRANKS,University of Binghamton,"10, 13, 21, 29, 55, 68",RW,14,12,11,23,2,1,1,0,23,2
DEVIN DEPOL,Florida Institute of Technology - FCHC,55,F,17,12,11,23,6,3,0,0,12,2
COREY ALTIERI,University of Central Florida,16,F,26,12,11,23,2,3,1,1,16,0
CADE HEINOLD,Clemson University,"18, 6, 69, 81, 9",C,19,10,13,23,4,4,0,3,19,0
ELLIOTT HUNT,Buffalo State College,9,F,17,9,14,23,1,4,0,1,52,1
JAMES ASHE,University of Tampa - FCHC,8,D,21,9,14,23,1,5,0,1,8,0
LLEYTON POOLE,University of Georgia,10,D,29,9,14,23,4,8,0,1,4,0
SAMUEL ADLER,University of Georgia,"19, 28, 97","F, LW",24,8,15,23,2,0,0,2,16,0
JESSE TROUTMAN,Penn State University - Harrisburg,83,D,27,8,15,23,3,6,1,1,18,1
DYLAN BONSALL,Widener University,74,"C, F",15,6,17,23,0,3,1,0,38,0
JACOB NOYES,Quinnipiac University,22,F,18,15,7,22,2,1,3,1,12,1
CHUCK BAY,Auburn University,11,F,18,15,7,22,6,1,1,0,14,1
KENNETH WEIGHTMAN,University of South Florida,22,F,28,15,7,22,7,4,2,0,42,0
JASON RUSZKOWSKI,Farmingdale State College - D2,11,LW,9,14,8,22,0,3,0,0,14,2
KORY MCENERY,Old Dominion University,4,"F, LW",13,13,9,22,1,1,1,1,7,1
EVAN BECKWITH,LeMoyne College,24,F,16,12,10,22,3,2,1,0,7,1
AARON LONGO,Niagara University,13,RW,19,12,10,22,4,3,0,0,23,1
BENJAMIN OSBORNE,Penn State University - Harrisburg,86,F,19,12,10,22,2,1,0,0,22,1
MATTHEW ENGLAND,University of Alabama,"24, 61","F, LW",21,12,10,22,2,2,1,0,24,0
OWEN LACOURCIERE,Fairfield University,8,F,22,12,10,22,1,0,1,0,8,0
SPENCER HRYNCZAK,Niagara County Community College,6,F,12,11,11,22,1,4,1,0,12,0
OWEN HUGHES,St Bonaventure University,17,C,14,11,11,22,1,5,1,0,0,0
JOSHUA BEESE,University of Alabama,"11, 13","C, D",18,11,11,22,2,2,1,1,16,0
MICHAEL CAWLEY,Alvernia University,89,F,20,11,11,22,0,1,0,1,30,2
BRENDAN DIXSON,"Farmingdale State College - D2 , Farmingdale State College - D3",16,F,28,11,11,22,1,0,1,0,10,0
Farmingdale State College - D2,16,F,22,6,10,16,0,0,0,0,4,0,
Farmingdale State College - D3,16,–,6,5,1,6,1,0,1,0,6,0,
JACOB ALLAN,Erie Community College,9,F,13,10,12,22,1,6,2,1,18,1
DREW MONTANARELLA,Florida Southern College - FCHC,17,D,16,10,12,22,1,4,1,1,16,1
NICHOLAS CARLINE,University of Tennessee,91,F,20,10,12,22,1,6,0,0,20,1
NED MALOLEPSZY,Fairfield University,"37, 69",F,21,9,13,22,0,4,0,4,37,0
ANTHONY CARELLA,University of Delaware,20,F,21,8,14,22,2,3,1,1,14,0
RONAN EGAN,University of South Carolina,21,C,23,8,14,22,1,1,0,1,36,0
ROBERT VERELINE,SUNY Cortland,16,F,15,7,15,22,2,3,1,3,16,0
NOAH BRAUN,University at Buffalo,4,D,19,6,16,22,4,3,0,0,17,0
JORDAN HUSSAR,University at Buffalo,12,LW,15,5,17,22,3,3,0,1,24,0
MATTHEW DUMOND,University of Alabama,23,F,17,16,5,21,4,0,1,0,0,1
CHRISTOPHER GANNON,"University of Tampa , University of Tampa - FCHC","13, 27, 28, 43",F,18,14,7,21,1,2,0,0,16,1
University of Tampa,"13, 27",F,7,1,0,1,0,0,0,0,2,0,
University of Tampa - FCHC,"13, 28, 43",F,11,13,7,20,1,2,0,0,14,1,
HERBERT KOPF,Clemson University,24,RW,19,14,7,21,2,1,2,0,18,0
KENDALL NEMISH,Christopher Newport University,"23, 5, 83",C,11,13,8,21,3,2,1,0,9,0
MALCOLM CARDWELL,Kennesaw State University,"61, 7","C, F",18,12,9,21,4,2,1,2,6,1
STEPHEN FALGOUST,Quinnipiac University,23,LW,22,12,9,21,1,2,1,0,6,0
JOHNNY KETTELLE,Liberty University,15,C,19,11,10,21,3,4,0,0,17,0
JAKE RUSSO,Quinnipiac University,6,F,20,10,11,21,3,1,1,0,16,0
DAYMOND  BONSALL,Widener University,92,F,15,9,12,21,2,1,0,0,42,0
MICHAEL RAPPA,St Bonaventure University,23,C,18,9,12,21,2,2,0,0,2,0
FRANCO CAMINITI,University of Tampa - FCHC,5,D,20,8,13,21,0,4,0,0,8,0
TANNER PRESSLEY,Penn State University - Harrisburg,5,F,24,8,13,21,2,2,1,1,27,0
SHANE SMITH,Farmingdale State College - D2,3,D,25,8,13,21,3,5,1,1,4,0
PARKER MARA,University of Florida,19,C,15,7,14,21,1,5,1,1,10,0
EASTON WILLIAMSON,University of Alabama,9,"C, F",21,6,15,21,0,4,0,0,32,0
RYAN ZAGROCKI,Widener University,89,F,15,16,4,20,2,2,1,0,23,1
EVAN KAYS,York College of Pennsylvania,20,LW,10,13,7,20,4,0,0,0,0,2
MATTHEW SODANO,Kutztown University D3,10,C,13,13,7,20,2,2,0,0,12,1
ADAM LOUISE,University of Tampa - FCHC,"10, 16, 6",LW,17,10,10,20,2,3,1,1,13,0
LUKE CAMPOMENOSI,Ramapo College,12,C,18,10,10,20,1,3,1,0,22,1
STEPHEN GRANEY,Kutztown University D2,15,C,17,9,11,20,2,3,0,1,4,0
DAKOTA JOHNSON,High Point University,2,F,19,9,11,20,3,4,0,0,34,0
TREVOR REECE,Embry-Riddle University,27,LW,29,9,11,20,3,4,0,2,49,0
MATE IMRE,University of Central Florida,14,C,28,8,12,20,1,6,2,1,12,0
LIAM HARTMANN,Susquehanna University,6,C,7,7,13,20,1,3,0,0,4,2
ANTON RUPPERT,Buffalo State College,"21, 7",F,17,7,13,20,3,5,1,1,6,0
NICHOLAS GALANTI,University of Binghamton,11,F,17,7,13,20,2,4,0,1,4,0
MATTHEW HAWKINS,Farmingdale State College - D2,92,RW,20,7,13,20,1,6,1,1,7,0
JACOB OLDHAM,University of Alabama,6,"C, LW",21,5,15,20,1,3,0,0,26,0
CHRISTOPHER CICCARELLO,Susquehanna University,87,F,6,14,5,19,5,2,0,0,14,3
BEN PORTMAN,Canisius College,26,LW,12,13,6,19,2,3,0,0,2,2
ROBERT CAZZOLA,High Point University,20,F,17,12,7,19,3,2,1,0,10,1
BRANDON HOLT,Georgia Tech,10,F,28,12,7,19,1,1,1,0,24,1
ANDREW MCGINLEY,Neumann University,16,F,10,11,8,19,1,3,0,0,12,0
QUINN PICHEL,University of Mississippi,23,F,15,11,8,19,2,2,0,1,8,0
ETHAN BOEHM,Farmingdale State College - D2,18,F,25,11,8,19,4,1,0,0,8,0
CARSON DESMARAIS,Liberty University,27,LW,19,10,9,19,3,2,0,0,12,0
KEVYN RIGATTI,Catholic University,7,C,11,9,10,19,0,2,0,0,24,1
MICHAEL REYNOLDS,Gannon University,"17, 9",C,12,9,10,19,3,5,1,1,18,0
WILLIAM CASULLO,Niagara County Community College,19,F,12,9,10,19,2,1,0,1,2,1
AIDAN JOHNSON,Alfred State College,71,RW,12,9,10,19,3,2,2,0,8,2
DEMITRI SAMARKOS,University of Tampa - FCHC,26,C,16,9,10,19,2,0,0,0,2,1
JOSEPH ROCKOVICH,Catholic University,"14, 87",F,9,8,11,19,4,1,0,0,4,0
DAVID CAMPBELL,University of Miami,"15, 19",F,17,8,11,19,2,2,0,2,8,0
MATTHEW WARNECKE,University of Mississippi,"11, 23, 24",F,18,8,11,19,3,5,0,0,4,0
CHRISTIAN KLINE,Liberty University,13,C,22,8,11,19,3,3,0,0,0,1
CHASE TALEGHANI,"Embry-Riddle University , Embry-Riddle University - FCHC","17, 28",C,25,8,11,19,2,2,0,0,35,0
Embry-Riddle University,"17, 28",C,24,8,11,19,2,2,0,0,31,0,
Embry-Riddle University - FCHC,17,–,1,0,0,0,0,0,0,0,4,0,
JUSTIN MACHOVINA,Florida Atlantic University,"4, 57",D,25,8,11,19,4,3,0,2,51,0
ADRIAN PAPE,Kennesaw State University,68,D,19,7,12,19,2,4,1,0,54,1
RYAN MURRAY,University of Tampa,61,F,21,7,12,19,0,1,0,0,21,0
HOLDEN HAVLOVIC,University of Tampa - FCHC,10,F,14,6,13,19,2,2,0,2,2,1
JUSTIN GROUX,University of Binghamton,25,F,17,6,13,19,2,2,0,3,4,1
GARRETT SCHUELLER,Georgia Tech,4,D,24,6,13,19,0,6,0,0,34,0
BRENDAN RHEAULT,Mass Maritime Academy,4,F,18,16,2,18,2,0,1,0,40,2
THOMAS MCKEE,University of Binghamton,72,C,12,15,3,18,3,0,1,1,7,2
TREY LEO,Fordham University,6,F,12,12,6,18,3,2,0,2,24,1
GAVIN WOLFF,Kutztown University D3,18,C,13,11,7,18,0,2,1,0,8,1
ANDREW DEZOTELL,Widener University,4,F,15,11,7,18,3,1,1,1,14,1
CAMERON DEMANICOR,York College of Pennsylvania,7,F,10,10,8,18,4,2,1,0,4,2
ZANE QUIGLEY,Christopher Newport University,22,"F, RW",11,10,8,18,1,0,0,0,44,1
ANTHONY BANAS,Middle Tennessee State University,10,D,18,10,8,18,3,1,0,0,20,0
MONTANA GORDON,Florida Southern College - FCHC,16,F,19,10,8,18,1,0,1,0,42,0
NATHAN SISTI,Niagara University,18,C,20,10,8,18,2,3,0,0,10,0
JACK VAUGHAN,University of Tampa - FCHC,7,C,21,9,9,18,1,2,1,0,27,0
NICHOLAS MCINCHAK,Florida Atlantic University,90,F,26,9,9,18,2,1,0,0,2,0
GRIFFIN ERDELY,Susquehanna University,37,F,6,8,10,18,0,3,0,0,2,1
JAKE SPINA,St Bonaventure University,16,F,16,8,10,18,2,2,0,1,36,0
DAVID FRATTAROLI,Hofstra University,26,"F, LW",20,8,10,18,2,2,1,2,26,1
LUKE BESSIRE,Liberty University,12,F,23,8,10,18,2,4,0,0,35,0
MARCO PINEDA,University of South Carolina,9,F,24,8,10,18,2,3,0,2,10,0
MATTHEW SCRIBNER,University of Central Florida,19,F,24,8,10,18,0,5,2,0,25,1
DENNIS GENEREAU JR.,Catholic University,8,LW,11,7,11,18,1,1,1,0,17,1
JOHN IMMELLO,University of Miami,27,D,19,7,11,18,2,1,0,3,39,1
ZACH SCHULTZ,Buffalo State College,44,F,19,7,11,18,3,3,0,1,24,0
LUKE MOLNAR,"SUNY Geneseo , St John Fisher College","0, 18, 16, 19",D,20,6,12,18,1,3,1,0,2,0
SUNY Geneseo,"0, 18",–,2,0,2,2,0,0,0,0,0,0,
St John Fisher College,"16, 19",D,18,6,10,16,1,3,1,0,2,0,
JOSH WILKINS,University of South Carolina,7,LW,26,6,12,18,2,0,0,0,42,0
JACK STANTON,Fairfield University,61,F,19,5,13,18,0,3,1,0,13,0
ZAC AKIN,St John Fisher College,17,D,19,5,13,18,0,2,0,1,41,1
CONNOR MCKENDRY,University of Binghamton,12,C,17,4,14,18,1,3,0,1,0,0
DEVIN GRIMSHAW,St John Fisher College,18,C,20,3,15,18,0,2,0,1,10,0
CADE CARTWRIGHT,Penn State University - Harrisburg,17,F,27,2,16,18,0,0,0,0,14,0
ZACHARY BOCHENEK,University of Georgia,21,F,20,13,4,17,1,1,2,0,14,2
TREVOR GUTMANN,University of Georgia,"22, 55",F,23,13,4,17,1,0,1,0,28,0
BREDAN SISE,Embry-Riddle University - FCHC,10,F,9,11,6,17,2,1,1,0,0,1
JOSEPH ROBINSON,University of Mississippi,"0, 36, 63",F,18,11,6,17,2,0,0,0,20,1
JAKE KARANT,University of Tampa,29,F,22,10,7,17,0,0,0,0,16,0
THOMAS YOCUM,Widener University,2,D,14,9,8,17,2,3,1,0,14,1
CONNOR BERRY,University of Tampa,17,F,17,9,8,17,2,1,1,0,10,1
BLAKE ROBISON,Auburn University,16,C,18,9,8,17,2,0,0,0,35,1
COLLIN EWALD,Hofstra University,10,"F, LW",19,9,8,17,1,2,1,0,29,1
MICHAEL DEVITA,University of Tampa - FCHC,87,F,19,9,8,17,1,1,0,1,14,0
JAMES CONWAY,Clemson University,"21, 30, 7, 8","F, LW",12,7,10,17,1,3,0,2,10,0
CHRISTOPHER WALSH,Embry-Riddle University - FCHC,22,C,17,7,10,17,0,4,1,1,12,0
KEVIN KEANE,Quinnipiac University,4,F,22,7,10,17,1,0,0,0,2,0
ZACH PARKER,University of South Florida,24,F,27,7,10,17,3,4,1,0,4,0
MICHAEL HATCH,Fordham University,"15, 21","D, F",16,6,11,17,3,3,0,1,20,0
JACOB JAKSON,St Bonaventure University,11,D,18,6,11,17,2,2,0,0,10,0
RYAN HENRY,High Point University,18,LW,19,6,11,17,0,3,0,1,38,0
MAX MONA,Vanderbilt University,11,C,12,5,12,17,1,2,1,0,24,0
MARK NOVAK,LeMoyne College,23,"C, F",15,4,13,17,2,2,0,0,32,0
JUSTIN  COHN,Alvernia University,25,D,17,4,13,17,1,4,0,0,30,0
CHRISTOPHER KOURGELIS,University of Miami,19,C,18,4,13,17,0,1,1,0,4,0
BRANDON KIRCHGESSNER,Quinnipiac University,18,C,19,4,13,17,1,3,0,0,16,0
BRADY KNAUF,Niagara University,"11, 26",D,21,4,13,17,1,6,0,1,25,0
MATT STEWART,Niagara County Community College,21,F,12,2,15,17,1,3,0,0,2,0
HOLDEN GRUBER,Ramapo College,21,D,18,2,15,17,1,2,0,1,10,0
LUKE RUDMAN,University of South Carolina,20,RW,23,13,3,16,2,0,1,0,44,2
CHRISTOPHER HAMMERLE,SUNY Cortland,22,F,15,12,4,16,5,2,0,0,15,2
BRADEN RISHELL,University of Delaware,7,LW,19,12,4,16,2,1,0,0,4,1
RYAN MEYER,Florida State University,"18, 22, 27","D, F",17,11,5,16,3,2,1,0,10,0
NATHANIEL ALTHOFF,Babson College,83,C,13,10,6,16,1,2,2,0,4,0
SAM TOBER,University of Miami,2,D,13,10,6,16,2,3,0,0,14,0
MAX KLARES,University of Binghamton,4,D,17,10,6,16,3,3,1,1,22,0
DEAN ANGELO,University of Alabama,21,F,21,10,6,16,1,1,0,0,10,0
ANTHONY MILLER,Niagara County Community College,89,F,12,9,7,16,1,0,0,0,40,1
ERIC ABBATE,Liberty University,8,RW,16,9,7,16,2,2,0,1,16,0
NICK EMMONS,Quinnipiac University,9,C,23,9,7,16,3,0,1,2,4,1
GRIFFEN BONO,Florida Atlantic University,"16, 67",LW,26,9,7,16,2,1,1,0,30,1
AIDAN HAMMOND,Georgia Tech,9,F,29,9,7,16,3,1,0,0,34,0
PARKER BAUMANN,Susquehanna University,12,"F, RW",7,8,8,16,1,1,0,0,9,2
KYLE ZAROOGIAN,Farmingdale State College - D3,88,F,13,8,8,16,2,4,2,0,8,0
HENRY LANGE,Auburn University,"22, 23",F,16,8,8,16,0,1,0,0,24,1
SAM PASTORE,St John Fisher College,11,F,16,8,8,16,1,2,0,1,16,0
COLLIN MESICK,St John Fisher College,15,D,21,8,8,16,0,2,0,1,6,0
TY MARCHI,Fairfield University,"48, 88",F,21,8,8,16,2,1,2,1,2,0
QUINTEN MENOSKY,Florida Atlantic University,77,LW,22,8,8,16,2,2,0,1,30,0
JEFF  MORGAN,Embry-Riddle University - FCHC,92,–,7,7,9,16,2,1,1,0,6,0
