Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
LUKE PEZZANO,University of Rochester,7,F,5,0,2,2,0,1,0,0,8,0
JOSEPH PONS,University of Rochester,17,D,5,0,2,2,0,2,0,0,6,0
DECLAN ROSS,University of Miami,24,F,5,0,2,2,0,1,0,0,2,0
ANDREW BOYLE,LaSalle University,22,RW,6,0,2,2,0,1,0,0,0,0
TYLER WEBER,Canisius College,"24, 4",D,6,0,2,2,0,0,0,0,6,0
BOBBY MURPHY,LaSalle University,27,LW,6,0,2,2,0,0,0,0,4,0
ANTHONY TOMASSI,Alfred State College,4,D,6,0,2,2,0,0,0,0,24,0
JACOB LEBLANC,Auburn University,3,D,7,0,2,2,0,0,0,0,8,0
BEN GRIEB,United States Naval Academy,"22, 44",RW,7,0,2,2,0,0,0,0,2,0
SAVAY THOMPSON,Anna Maria College,5,F,7,0,2,2,0,0,0,0,4,0
GRANT BISCHOF,Auburn University,4,F,7,0,2,2,0,0,0,0,0,0
ROBERT SIGNORINO,Quinnipiac University,13,D,8,0,2,2,0,0,0,0,0,0
ZACHARY LEONARD,Embry-Riddle University,10,F,8,0,2,2,0,0,0,0,6,0
JACK HOLMES,Christopher Newport University,89,"F, RW",8,0,2,2,0,0,0,0,6,0
ZACHARY SHAW,University of New Hampshire - D3,"28, 44",D,8,0,2,2,0,0,0,0,0,0
CASE SANTA MARIA,University of Georgia,55,F,8,0,2,2,0,0,0,1,6,0
JOSH LEVESQUE,Quinnipiac University,2,D,8,0,2,2,0,0,0,1,2,0
ANDREW FIETZE,Vanderbilt University,26,C,8,0,2,2,0,0,0,0,2,0
RHONAN KEGLER,University At Albany,4,F,8,0,2,2,0,1,0,0,2,0
REECE RINKER,Salisbury University,4,D,9,0,2,2,0,0,0,0,4,0
JACK TABATA,Bloomsburg University,5,D,9,0,2,2,0,0,0,0,8,0
ZACH SYLVIA,Mass Maritime Academy,6,D,9,0,2,2,0,0,0,0,0,0
JOHN FERRARI,Bloomsburg University,14,D,9,0,2,2,0,0,0,0,4,0
ANDREW COYNE,Vanderbilt University,"0, 8",D,9,0,2,2,0,0,0,0,2,0
MIKE CICHETTI,St John Fisher College,"11, 26",D,9,0,2,2,0,1,0,0,0,0
LOUIS MORETTO,Alfred State College,16,RW,9,0,2,2,0,0,0,0,20,0
TIMMY KEEGAN,Catholic University,32,F,9,0,2,2,0,0,0,0,0,0
JACK EGGEMEYER,Clemson University,"10, 25, 3, 6, 82, 99",D,10,0,2,2,0,0,0,0,0,0
SEAN DONNELLY,College of Charleston,14,D,10,0,2,2,0,0,0,0,8,0
WILLIAM ROBINSON,Liberty University,18,D,10,0,2,2,0,0,0,0,0,0
